,District,Democratic,Republican,Year,State,,,,,,,,,,,,,,,,,,,,,
,15th,"88,559","244,947",2020,IL,,,,,,,,,,,,,,,,,,,,,
,16th,"119,313","218,839",2020,IL,,,,,,,,,,,,,,,,,,,,,
,17th,"156,011","143,863",2020,IL,,,,,,,,,,,,,,,,,,,,,
,18th,"110,039","261,840",2020,IL,,,,,,,,,,,,,,,,,,,,,
,,"3,355,487","2,416,929",2020,IL,,,,,,,,,,,,,,,,,,,,,
,,"3,278,930","2,319,870",2020,IL,,,,,,,,,,,,,,,,,,,,,
,,"3,471,915","2,446,891",2020,IL,,,,,,,,,,,,,,,,,,,,,
,1st,"185,180","132,247",2020,IN,,,,,,,,,,,,,,,,,,,,,
,2d,"114,967","183,601",2020,IN,,,,,,,,,,,,,,,,,,,,,
,3d,"104,762","220,989",2020,IN,,,,,,,,,,,,,,,,,,,,,
,4th,"112,984","225,531",2020,IN,,,,,,,,,,,,,,,,,,,,,
,5th,"191,226","208,212",2020,IN,,,,,,,,,,,,,,,,,,,,,
,6th,"91,103","225,319",2020,IN,,,,,,,,,,,,,,,,,,,,,
,7th,"176,422","106,146",2020,IN,,,,,,,,,,,,,,,,,,,,,
,8th,"95,691","214,643",2020,IN,,,,,,,,,,,,,,,,,,,,,
,9th,"122,566","222,057",2020,IN,,,,,,,,,,,,,,,,,,,,,
,,"1,194,901","1,738,745",2020,IN,,,,,,,,,,,,,,,,,,,,,
,,"1,242,416","1,729,519",2020,IN,,,,,,,,,,,,,,,,,,,,,
,1st,"201,347","212,088",2020,IA,,,,,,,,,,,,,,,,,,,,,
,2d,"196,958","196,964",2020,IA,,,,,,,,,,,,,,,,,,,,,
,3d,"219,205","212,997",2020,IA,,,,,,,,,,,,,,,,,,,,,
,4th,"144,761","237,369",2020,IA,,,,,,,,,,,,,,,,,,,,,
,,"762,271","859,418",2020,IA,,,,,,,,,,,,,,,,,,,,,
,,"754,859","864,997",2020,IA,,,,,,,,,,,,,,,,,,,,,
,,"759,061","897,672",2020,IA,,,,,,,,,,,,,,,,,,,,,
,1st,"84,393","208,229",2020,KS,,,,,,,,,,,,,,,,,,,,,
,2d,"136,650","185,464",2020,KS,,,,,,,,,,,,,,,,,,,,,
,3d,"220,049","178,773",2020,KS,,,,,,,,,,,,,,,,,,,,,
,4th,"116,166","203,432",2020,KS,,,,,,,,,,,,,,,,,,,,,
,,"557,258","775,898",2020,KS,,,,,,,,,,,,,,,,,,,,,
,,"571,530","727,962",2020,KS,,,,,,,,,,,,,,,,,,,,,
,,"570,323","771,406",2020,KS,,,,,,,,,,,,,,,,,,,,,
,1st,"82,141","246,329",2020,KY,,,,,,,,,,,,,,,,,,,,,
,2d,"94,643","255,735",2020,KY,,,,,,,,,,,,,,,,,,,,,
,3d,"230,672","137,425",2020,KY,,,,,,,,,,,,,,,,,,,,,
,4th,"125,896","256,613",2020,KY,,,,,,,,,,,,,,,,,,,,,
,5th,"47,056","250,914",2020,KY,,,,,,,,,,,,,,,,,,,,,
,6th,"155,011","216,948",2020,KY,,,,,,,,,,,,,,,,,,,,,
,,"735,419","1,363,964",2020,KY,,,,,,,,,,,,,,,,,,,,,
,,"816,257","1,233,315",2020,KY,,,,,,,,,,,,,,,,,,,,,
,,"772,474","1,326,646",2020,KY,,,,,,,,,,,,,,,,,,,,,
,1st,"94,730","270,330",2020,LA,,,,,,,,,,,,,,,,,,,,,
,2d,"235,320","63,140",2020,LA,,,,,,,,,,,,,,,,,,,,,
,3d,"100,275","230,480",2020,LA,,,,,,,,,,,,,,,,,,,,,
,4th,"101,970","204,608",2020,LA,,,,,,,,,,,,,,,,,,,,,
,5th,"99,566","135,524",2020,LA,,,,,,,,,,,,,,,,,,,,,
,6th,"95,541","265,706",2020,LA,,,,,,,,,,,,,,,,,,,,,
,,"727,402","1,169,788",2020,LA,,,,,,,,,,,,,,,,,,,,,
,,"730,989","1,267,291",2020,LA,,,,,,,,,,,,,,,,,,,,,
,,"856,034","1,255,776",2020,LA,,,,,,,,,,,,,,,,,,,,,
,1st,"271,004","165,008",2020,ME,,,,,,,,,,,,,,,,,,,,,
,2d,"197,974","175,228",2020,ME,,,,,,,,,,,,,,,,,,,,,
,,"468,978","340,236",2020,ME,,,,,,,,,,,,,,,,,,,,,
,,"347,223","417,645",2020,ME,,,,,,,,,,,,,,,,,,,,,
,,"435,072","360,737",2020,ME,,,,,,,,,,,,,,,,,,,,,
,1st,"143,877","250,901",2020,MD,,,,,,,,,,,,,,,,,,,,,
,2d,"224,836","106,355",2020,MD,,,,,,,,,,,,,,,,,,,,,
,3d,"260,358","112,117",2020,MD,,,,,,,,,,,,,,,,,,,,,
,4th,"282,119","71,671",2020,MD,,,,,,,,,,,,,,,,,,,,,
,5th,"274,210","123,525",2020,MD,,,,,,,,,,,,,,,,,,,,,
,6th,"215,540","143,599",2020,MD,,,,,,,,,,,,,,,,,,,,,
,7th,"237,084","92,825",2020,MD,,,,,,,,,,,,,,,,,,,,,
,8th,"274,716","127,157",2020,MD,,,,,,,,,,,,,,,,,,,,,
,,"1,912,740","1,028,150",2020,MD,,,,,,,,,,,,,,,,,,,,,
,,"1,985,023","976,414",2020,MD,,,,,,,,,,,,,,,,,,,,,
,1st,"275,376",0,2020,MA,,,,,,,,,,,,,,,,,,,,,
,2d,"249,854","132,220",2020,MA,,,,,,,,,,,,,,,,,,,,,
,3d,"286,896",0,2020,MA,,,,,,,,,,,,,,,,,,,,,
,4th,"251,102","160,474",2020,MA,,,,,,,,,,,,,,,,,,,,,
,5th,"294,427","101,351",2020,MA,,,,,,,,,,,,,,,,,,,,,
,6th,"286,377","150,695",2020,MA,,,,,,,,,,,,,,,,,,,,,
,7th,"267,362",0,2020,MA,,,,,,,,,,,,,,,,,,,,,
,8th,"310,940 .",0,2020,MA,,,,,,,,,,,,,,,,,,,,,
,9th,"260,262","154,261",2020,MA,,,,,,,,,,,,,,,,,,,,,
,,"2,482,596","699,001",2020,MA,,,,,,,,,,,,,,,,,,,,,
,,"2,357,809","1,177,765",2020,MA,,,,,,,,,,,,,,,,,,,,,
,,"2,382,202","1,167,202",2020,MA,,,,,,,,,,,,,,,,,,,,,
,1st,"153,328","256,581",2020,MI,,,,,,,,,,,,,,,,,,,,,
,2d,"154,122","238,711",2020,MI,,,,,,,,,,,,,,,,,,,,,
,3d,"189,769","213,649",2020,MI,,,,,,,,,,,,,,,,,,,,,
,4th,"120,802","242,621",2020,MI,,,,,,,,,,,,,,,,,,,,,
,5th,"196,599","150,772",2020,MI,,,,,,,,,,,,,,,,,,,,,
,6th,"152,085","211,496",2020,MI,,,,,,,,,,,,,,,,,,,,,
,7th,"159,743","227,524",2020,MI,,,,,,,,,,,,,,,,,,,,,
,8th,"217,922","202,525",2020,MI,,,,,,,,,,,,,,,,,,,,,
,9th,"230,318","153,296",2020,MI,,,,,,,,,,,,,,,,,,,,,
,10th,"138,179","271,607",2020,MI,,,,,,,,,,,,,,,,,,,,,
